1202;Лимончик;303419094326;0;2196610
1199;DoubleSwap;;0;0
1178;BankaExchange;;0;77658
1210;16Tonn;;0;4238316
1185;Expa24;;0;204351
1190;Daeo;;0;8026629
1191;SendNow;;0;2526623
1209;Cerber;;0;2782427
1204;LightObmen;166425924865;0;0
1186;Nadex;;0;54559372
1181;SwapEx;;0;94080621
1205;CoinFusion;;0;4524582
1201;Cross-Market;;0;523538
1188;Intercontinental;;0;5707337
1197;Dashka;;0;12502813
1208;VeanEx;;0;0
1194;FloatChange;;0;4419584
1213;CleanCoins;;0;5241355
1207;Криптолоджик;;0;0
1215;WayBit;;0;204624
1223;BitcoinObmennik;;0;318198927
1216;Moneta365;;0;139776924
1217;R2Exchange;;0;2164499
1221;Coine-Market;;0;0
1219;BucksBunny;;0;282031840
1222;VN-Exchange;;0;0
1224;GreenBit;;0;135227523
1225;EasySwap;;0;37222987
1226;Buycoin;;0;15286082
1228;Swop;;0;26052278
1230;Galaxy-Coin;;0;3034138
1229;Crypto-Trans;;0;0
1231;EmpireOfExchange;;0;0
1232;CyberMoney;499582611792;0;310441
1233;Dolphex;817491148014;0;0
